
2024/08/15 (15:38:15) | ===> btop++ v.1.3.2
2024/08/15 (15:38:15) | ERROR: Stall in Runner thread, restarting!
2024/08/15 (15:38:21) | ERROR: Stall in Runner thread, restarting!

2024/10/05 (22:21:42) | ===> btop++ v.1.4.0
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/05 (22:21:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
